Subject	Trial	Event Type	Code	Time	TTime	Uncertainty...7	Duration	Uncertainty...9	ReqTime	ReqDur	Stim Type	Pair Index
NA	1	Picture	ripnp	10167	0	1	50132	1	0	50000	other	0
NA	2	Picture	ricordaneutralprova	60466	0	1	50132	1	0	50000	other	0
NA	3	Picture	tre	110765	0	1	10026	1	0	10000	other	0
NA	4	Picture	due	120958	0	1	10026	1	0	10000	other	0
NA	5	Picture	uno	131151	0	1	10026	1	0	10000	other	0
NA	6	Picture	zero	141345	0	1	10026	1	0	10000	other	0
NA	7	Picture	neutraltest	151538	0	1	167	1	0	10	other	0
NA	8	Picture	NMM	151873	0	1	20053	1	0	20000	other	0
NA	8	Response	1	165364	13491	0	NA	NA	NA	NA	NA	NA
NA	9	Picture	fix1	172092	0	1	10026	1	0	10000	other	0
NA	10	Picture	NWK	182286	0	1	20053	1	0	20000	other	0
NA	10	Response	2	190536	8250	0	NA	NA	NA	NA	NA	NA
NA	11	Picture	fix1	202506	0	1	10026	1	0	10000	other	0
NA	12	Picture	NMK	212699	0	1	20053	1	0	20000	other	0
NA	12	Response	1	222672	9973	0	NA	NA	NA	NA	NA	NA
NA	13	Picture	fix1	232919	0	1	10026	1	0	10000	other	0
NA	14	Picture	NWBK	243112	0	1	20053	1	0	20000	other	0
NA	14	Response	2	250330	7218	0	NA	NA	NA	NA	NA	NA
NA	15	Picture	fix1	263332	0	1	10026	1	0	10000	other	0
NA	16	Picture	ripfp	273525	0	1	50132	1	0	50000	other	0
NA	17	Picture	ricordafacceprova	323824	0	1	50132	1	0	50000	other	0
NA	18	Picture	tre	374123	0	1	10026	1	0	10000	other	0
NA	19	Picture	due	384317	0	1	10026	1	0	10000	other	0
NA	20	Picture	uno	394510	0	1	10026	1	0	10000	other	0
NA	21	Picture	zero	404703	0	1	10026	1	0	10000	other	0
NA	22	Picture	faccetest	414897	0	1	167	1	0	10	other	0
NA	23	Picture	FMG	415231	0	1	20053	1	0	20000	other	0
NA	23	Response	2	425923	10692	0	NA	NA	NA	NA	NA	NA
NA	24	Picture	fix1	435451	0	1	10026	1	0	10000	other	0
NA	25	Picture	FWR	445644	0	1	20053	1	0	20000	other	0
NA	25	Response	2	452784	7140	0	NA	NA	NA	NA	NA	NA
NA	26	Picture	fix1	465864	0	1	10026	1	0	10000	other	0
